"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NRWM4QFM","dataset","2019","Bloemendaal, Nadia; Haigh, Ivan D.; De Moel, Hans; Haarsma, R.J. (Reindert); Aerts, Jeroen C. J. H.","STORM IBTrACS present climate synthetic tropical cyclone tracks","","","","10.4121/12706085.v4","https://figshare.com/articles/dataset/STORM_IBTrACS_present_climate_synthetic_tropical_cyclone_tracks/12706085/4","Datasets consisting of 10,000 years of synthetic tropical cyclone tracks, generated using the Synthetic Tropical cyclOne geneRation Model (STORM) algorithm (see Bloemendaal et al, Generation of a Global Synthetic Tropical cyclone Hazard Dataset using STORM, in review). The dataset is generated using historical data from IBTrACS and resembles present-climate conditions. The data can be used to calculate tropical cyclone risk in all (coastal) regions prone to tropical cyclones. VERSION UPDATE (30 Sept 2020): The Saffir-Simpson category thresholds were wrongly calculated in the previous version, this has now been corrected. VERSION UPDATE (18 March 2021): The old version of STORM contained some duplicate cyclone tracks. These have now been removed. VERSION UPDATE (22 July 2022): The last version accidentally still had the old wrong categories ... This version has the right categories AND the duplicates removed! :-)","2019-11-20","2025-10-29 10:49:39","2025-10-29 10:51:35","2025-10-29 10:49:39","","","","","","","","","","","","4TU.ResearchData","","en","CC0","","","","figshare.com","","","","C:\Users\ggenelot\Zotero\storage\X69UAYF5\4.html","","","/unread; inbox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","",""
"GF5TJ3YX","webpage","","","Fiche - Niveau de vie médian et taux de pauvreté par tranche d’âge du référent fiscal | Insee","","","","","https://catalogue-donnees.insee.fr/fr/catalogue/recherche/DS_FILOSOFI_AGE_TP_NIVVIE","","","2025-10-30 09:51:21","2025-10-30 09:51:24","2025-10-30 09:51:21","","","","","","","","","","","","","","","","","","","","","","","C:\Users\ggenelot\Zotero\storage\UA5R7PMY\DS_FILOSOFI_AGE_TP_NIVVIE.html","","","/unread; inbox","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
